Titulo del comentario,Tipo de Habitacion,Fecha reserva,Fecha del comentario,Nombre ,Me gusto,No me gusto,Duracion estadia,Puntaje,Pais procedencia,Tipo viajero
Average and overpriced.,Habitación Superior con vistas a la piscina - Cama extragrande,octubre de 2025,Fecha del comentario: 20 de octubre de 2025,Muhammad,"Complementary breakfast buffet

Location 

Island itself","Mainly rude staff (holiday visa holders that couldnt be bothered to remediate situation)

Subpar cleanliness 

Worst housekeeping ever

Disconnect b/w front desk and housekeeping

Overpriced restaurants on site",6 noches ·,"5,0",Australia,En familia
Amazing place to visit!,Habitación Superior con vistas al mar - 2 camas,octubre de 2025,Fecha del comentario: 18 de octubre de 2025,Cheryl,"Location, room, pools.  Just lovely",Restaurant service was slow even drinks,2 noches ·,10,Australia,En familia
Awesome,Habitación Superior con vistas a la piscina - Cama extragrande,octubre de 2025,Fecha del comentario: 18 de octubre de 2025,Troy,Relaxation and convenience,Having to leave,3 noches ·,10,Australia,En pareja
What you see is ultimately not what you get!,Habitación Superior con vistas al mar - 2 camas,octubre de 2025,Fecha del comentario: 18 de octubre de 2025,Christine,"Location , pools","Facade is lovely with a welcome drink, free breakfast  and necklaces and other than the beautiful view, it is very run down, overpriced little options for food for kids. Food was terrible at Infinity!!! Back of property wasn’t maintained, drain was leaking in shower and wasn’t allowed to bring food to the island, lacked essentials like Panadol etc , balcony not cleaned and dirty.  No options for family stay other than to book two rooms.  Has a feel like shortcuts taken and problems just patched up to maximise profits vs true customer satisfaction",2 noches ·,"4,0",Australia,En familia
The resort feels abandoned,Habitación Superior con vistas a la piscina - Cama extragrande,octubre de 2025,Fecha del comentario: 17 de octubre de 2025,Dominique,"The location and the pool, that’s all….","What a letdown! This resort is in desperate need of proper maintenance. The place is clearly running down — paint needs to be done inside and out, gardens completely neglected (if there are still gardeners), and our bedroom wasn’t even attended to every day.
The staff seem lost and untrained, with no idea what they’re doing. It’s honestly embarrassing for a property in such a stunning location to be left in this state.
The restaurants on the island are outrageously expensive for what they offer — and to make things worse, the food quality is downright horrifying.
Backpackers are an essential and helpful part of the resort’s workforce, but unfortunately, they appear to be left without proper supervision or guidance. The lack of experienced, steady, and professional management is evident throughout the property.
This place could thrive with the right leadership, but as it stands, the lack of structure and direction shows in every detail — from maintenance to service quality. Such a shame for a resort in such a beautiful location
It’s a real shame to see such potential wasted. I’m definitely not coming back, and honestly, I’m embarrassed to tell my friends I stayed here. How can we let a resort in such a beautiful setting be so poorly managed and abandoned?
It’s truly disappointing to see such a stunning location left in such poor condition. The resort feels abandoned — poorly maintained, neglected, and far below acceptable standards. A beautiful setting completely wasted.",3 noches ·,"2,0",Australia,En pareja
"From the first step off the ferry, you just feel relaxed and welcome.",Habitación Superior con vistas a la piscina - Cama extragrande,octubre de 2025,Fecha del comentario: 17 de octubre de 2025,Thomas,Great location and the staff were very friendly and helpful.,The fishing wasn’t great from the shore. Haha,4 noches ·,10,Australia,Persona que viaja sola
Excepcional,Habitación Doble Superior con vistas a la piscina - 2 camas,octubre de 2025,Fecha del comentario: 7 de octubre de 2025,Olga,Living reef,,2 noches ·,10,Australia,En pareja
Beautiful Island but ...,Habitación Resort con 2 camas individuales,octubre de 2025,Fecha del comentario: 7 de octubre de 2025,Mayumi,Love the island and the natural beauty of it. The staff was generally helpful but nothing exceeding whats expected.,"1. The map is misleading and not updated. Can't get food or drinks on the other end of the island. 
2. The hallway of the hotel to the rooms messed with dried leaves
3. The food buffet for breakfast is the same eveyday.",3 noches ·,"5,0",Australia,En grupo
Absolutely had a great long weekend trip.,Habitación Superior con vistas al mar - 2 camas,octubre de 2025,Fecha del comentario: 6 de octubre de 2025,Birla,Really lovely stay. Very picturesque as well.,I didn’t like the infrequency in the Cruise Whitsundays connection ferries.,2 noches ·,10,Australia,En grupo
"Beautiful location, rooms too small and not clean.",Habitación Doble adaptada para personas con discapacidad - 2 camas,septiembre de 2025,Fecha del comentario: 4 de octubre de 2025,Ashley,"Kayak, Watersports, Snorkling",Buffet food was poor and rooms without balcony,2 noches ·,"4,0",Australia,En familia
"When paying such high prices you should expect good food and services, unfortunately this was not the case",Habitación Superior con vistas a la piscina - Cama extragrande,septiembre de 2025,Fecha del comentario: 2 de octubre de 2025,Julie,Beautiful location,"Food was overpriced and not very good.
Housekeeping was awful, didn’t sweep floors in the six days we were there, didn’t restock tea/coffee, toilet rolls or tissues Bed was sometimes badly made.",5 noches ·,"4,0",Australia,En pareja
Wonderful family getaway,Habitación Doble Resort con cama grande,septiembre de 2025,Fecha del comentario: 30 de septiembre de 2025,Ann-marie,"Daydream Island is a lovely little island suitable for families with children. The rooms were extremely clean and the bed was very comfortable. Breakfast is usually wonderful, however, I found it very limited in comparison to my previous visit this time last year. I highly recommend participating in the Live Reef Experience. It was exceptional and an excellent learning experience.",The very small selection of snacks available on the island with the very expensive price tag. I suggest bringing your snacks with you as there is literally no where to purchase these items except for the small gift shop or bar.,1 noche ·,10,Australia,En familia
Aceptable,Habitación Superior - Cama extragrande - Lado de la piscina,septiembre de 2025,Fecha del comentario: 28 de septiembre de 2025,Monique,The buffet breakfast and dinners were fantastic. Room was average for what we paid.,"Room, Staff were somewhat friendly grumpy at times.",3 noches ·,"5,0",Australia,En pareja
It definitely has potential to be top class but has for to go,Habitación Deluxe Ocean con terraza - Cama extragrande,septiembre de 2025,Fecha del comentario: 28 de septiembre de 2025,Stephen,Location was unreal .,Hallways and corridors smell horrible and like dirty,2 noches ·,"4,0",Reino Unido,En pareja
Daydream lived up to its name again. Thank you,Habitación Deluxe Ocean con terraza - Cama extragrande,septiembre de 2025,Fecha del comentario: 28 de septiembre de 2025,Lesley,Loved the entertainment in foyer each night!,Nothing! Only a suggestion ….I would love to see there be something suitable to have with waffles on the breakfast buffet. There was only maple syrup with no cream or icecream which is fine with pancakes but not waffles.,3 noches ·,10,Australia,En pareja
Fantastic experience. Highly recommend DayDream Island. The staff & facilities were fantastic,Superior Ocean View Twin - Inclusive of Return Ferry Transfers,septiembre de 2025,Fecha del comentario: 25 de septiembre de 2025,Debbie,Everything for a resort island day stay,Nothing except we could have stayed longer,1 noche ·,10,Australia,En familia
